StateName,State,Count,Ave,Year,Possibility,Jan,Feb,Mar,Api,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,zero,fiveh,twok,twokplus,Jantwokplus,Febtwokplus,Martwokplus,Apitwokplus,Maytwokplus,Juntwokplus,Jultwokplus,Augtwokplus,Septwokplus,Octtwokplus,Novtwokplus,Dectwokplus,Jantwok,Febtwok,Martwok,Apitwok,Maytwok,Juntwok,Jultwok,Augtwok,Septwok,Octtwok,Novtwok,Dectwok,Janfiveh,Febfiveh,Marfiveh,Apifiveh,Mayfiveh,Junfiveh,Julfiveh,Augfiveh,Sepfiveh,Octfiveh,Novfiveh,Decfiveh,Janzero,Febzero,Marzero,Apizero,Mayzero,Junzero,Julzero,Augzero,Sepzero,Octzero,Novzero,Deczero
Alabama,AL,612,453197,51.6994068,12,0.444879379,0.541592288,0.348166471,0.889758758,0.715675523,0.889758758,1.760174935,2.224396896,1.740832353,1.237925229,0.580277451,0.464221961,142,170,65.99999998,45.99999998,0,1,0,6,4,3,2,2,10,13,5,0,2,2,3,10,6,3,1,4,18,12,3,2,10,14,6,12,7,15,31,25,24,10,9,7,5,6,5,4,3,12,32,39,17,8,4,7
Alaska,AK,451,728683,83.12605521,5,0.180448837,0.108269302,0.19247876,0.276688217,0.902244186,0.481196899,0.781944961,0.938333953,0.697735504,0.481196899,0.228568527,0.156388992,115,127,29.00000001,12.99999998,0,0,0,1,6,1,1,1,2,0,1,0,1,1,2,2,6,2,2,2,4,5,1,1,8,2,10,6,28,12,19,12,16,7,2,5,3,2,1,4,12,11,20,26,16,11,5,4
Arizona,AZ,1314,828900,94.55852156,14,0.676829533,0.772008686,1.046970684,1.544017372,1.59689468,0.951791531,1.173876222,1.544017372,1.258479913,1.427687296,1.057546146,0.846036916,209,182,77,156,1,3,14,34,27,3,7,20,18,20,8,1,3,1,7,11,12,6,4,7,12,10,2,2,12,7,11,21,24,12,23,15,17,23,10,7,9,13,9,14,26,18,23,21,17,27,16,16
Arkansas,AR,350,340788,38.87611225,9,0.514454734,0.23150463,0.463009261,0.823127575,1.106077679,0.643068418,1.106077679,1.337582309,0.977463995,0.797404838,0.617345681,0.385841051,74,69.99999999,44.00000002,36.00000001,3,0,3,6,2,5,0,2,4,7,3,1,1,2,2,5,8,2,3,2,5,6,6,2,2,3,3,5,14,8,13,8,6,3,1,4,4,1,4,9,5,4,13,15,4,4,7,4
California,CA,6845,2639688,301.1279945,23,1.700273669,1.052708502,1.368188968,2.351159683,2.078850228,2.195079873,2.460747634,1.836428396,1.90948703,2.248213425,1.74344468,1.786615691,1840,1547,684.9999999,578.9999999,24,16,34,121,121,12,17,44,71,61,29,29,106,39,36,84,43,29,25,43,62,64,64,90,136,89,104,157,125,145,181,117,108,124,133,128,92,75,107,160,153,254,281,168,138,187,123,102
Colorado,CO,4109,657096,74.9596167,55,1.974396435,1.494137843,2.161163666,3.108340334,6.363426349,9.738577012,10.33890025,5.109417802,5.669719493,4.082198035,2.081120567,2.694784324,1193,405,114,114,1,3,2,4,14,3,8,15,36,22,1,5,5,1,9,12,9,6,9,14,19,17,10,3,24,21,20,20,42,50,58,35,55,28,25,27,59,44,44,54,110,201,244,91,127,91,36,92
Connecticut,CT,764,348868,39.79785535,19,0.753809464,0.854317392,0.603047571,0.979952303,1.432237981,1.030206267,2.588079159,2.889602944,2.638333123,2.286555373,1.633253838,1.507618928,195,96.99999999,48,31,1,0,0,4,5,1,4,2,4,6,4,0,1,0,3,6,7,0,1,2,12,11,3,2,3,3,5,2,7,9,11,20,9,14,3,11,8,13,7,9,13,8,26,35,21,16,23,16
Delaware,DE,69,315155,35.95197353,2,0.055629769,0.027814885,0.055629769,0.139074424,0.111259539,0.055629769,0.139074424,0.361593502,0.222519078,0.500667925,0.111259539,0.139074424,33.00000002,10.99999999,5.999999984,4.000000001,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,2,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,0,4,2,0,0,1,0,1,2,1,1,8,5,12,1,1
Florida,FL,5163,2031747,231.7758385,22,1.53596683,1.372015315,1.708547373,1.712861887,1.652458697,1.527337803,1.682660292,3.188425527,2.355724408,2.571450087,1.65677321,1.311612125,1464,1266,644,297.0000001,4,8,21,43,35,7,4,16,68,77,9,5,46,44,71,70,50,20,20,30,85,129,47,32,117,96,114,87,84,92,84,167,128,106,103,88,97,80,83,75,96,131,138,288,138,122,119,97
Georgia,GA,1202,655583,74.78701802,16,0.574966099,0.534852185,0.922620019,1.377244376,1.310387853,1.363873072,1.818497429,2.460320051,2.099294826,1.871982648,1.096446979,0.641822622,353,229,123,99,0,1,10,12,10,0,1,8,21,28,7,1,2,2,5,14,15,5,6,11,23,29,9,2,10,15,10,22,22,22,25,30,30,17,15,11,16,4,10,23,16,38,55,85,42,29,21,14
